2013-01-02,553.82,555.00,541.63,549.03,20018500
2013-01-03,547.88,549.67,541.00,542.10,12605900
2013-01-04,536.97,538.63,525.83,527.00,21226200
2013-01-07,522.00,529.30,515.20,523.90,17291300
2013-01-08,529.21,531.89,521.25,525.31,16382400
2013-01-09,522.50,525.01,515.99,517.10,14557300
2013-01-10,528.55,528.72,515.52,523.51,21469500
2013-01-11,521.00,525.32,519.02,520.30,12518100
2013-01-14,502.68,507.50,498.51,501.75,26221700
2013-01-15,498.30,498.99,483.38,485.92,31313300
2013-01-16,494.64,509.44,492.50,506.09,24671600
2013-01-17,510.31,510.75,502.03,502.68,16202800
2013-01-18,498.52,502.22,496.40,500.00,16890100
2013-01-22,504.56,507.88,496.63,504.77,16483800
2013-01-23,508.81,514.99,504.77,514.01,30768200
2013-01-24,460.00,465.73,450.25,450.50,52173300
2013-01-25,451.69,456.23,435.00,439.88,43143800
2013-01-28,437.83,453.21,435.86,449.83,28054200
2013-01-29,458.50,460.20,452.12,458.27,20398500
2013-01-30,457.00,462.60,454.50,456.83,14898400
2013-01-31,456.98,459.28,454.98,455.49,11404800
2013-02-01,459.11,459.48,448.35,453.62,19267300
2013-02-04,453.91,455.94,442.00,442.32,17039900
2013-02-05,444.05,459.74,442.22,457.84,20476700
2013-02-06,456.47,466.50,452.58,457.35,21203800
2013-02-07,463.25,470.00,454.12,468.22,25163600
2013-02-08,474.00,478.81,468.25,474.98,22612800
2013-02-11,476.50,484.94,473.25,479.93,18481800
